Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0146052551	0	0	0	0	0	0	0	0	0	0	3
2	7	0	0.0292105103	0	0	0	0	0	0	0	0	0	0	3
3	9	0	0.0438157654	0	0	0	0	0	0	0	0	0	0	3
4	11	0	0.0584210205	0	0	0	0	0	0	0	0	0	0	3
5	13	0	0.0730262757	0	0	0	0	0	0	0	0	0	0	3
6	15	0	0.0876315308	0	0	0	0	0	0	0	0	0	0	3
7	17	0	0.102236786	0	0	0	0	0	0	0	0	0	0	3
8	20	0	0.116842041	0	0	0	0	0	0	0	0	0	0	3
9	22	0	0.131447296	0	0	0	0	0	0	0	0	0	0	3
10	24	0	0.146052551	0	0	0	0	0	0	0	0	0	0	3
11	26	0	0.160657807	0	0	0	0	0	0	0	0	0	0	3
12	28	0	0.175263062	0	0	0	0	0	0	0	0	0	0	3
13	30	0	0.189868317	0	0	0	0	0	0	0	0	0	0	3
14	31	0	0.204473572	0	0	0	0	0	0	0	0	0	0	3
15	33	0	0.219078827	0	0	0	0	0	0	0	0	0	0	3
16	35	0	0.233684082	0	0	0	0	0	0	0	0	0	0	3
17	36	0	0.248289337	0	0	0	0	0	0	0	0	0	0	3
18	38	0	0.262894592	0	0	0	0	0	0	0	0	0	0	3
19	40	0	0.277499848	0	0	0	0	0	0	0	0	0	0	3
20	41	0	0.292105103	0	0	0	0	0	0	0	0	0	0	3
21	43	0	0.306710358	0	0	0	0	0	0	0	0	0	0	3
22	45	0	0.321315613	0	0	0	0	0	0	0	0	0	0	3
23	47	0	0.335920868	0	0	0	0	0	0	0	0	0	0	3
24	48	0	0.350526123	0	0	0	0	0	0	0	0	0	0	3
25	50	0	0.365131378	0	0	0	0	0	0	0	0	0	0	3
26	52	0	0.379736634	0	0	0	0	0	0	0	0	0	0	3
27	53	0	0.394341889	0	0	0	0	0	0	0	0	0	0	3
28	55	0	0.408947144	0	0	0	0	0	0	0	0	0	0	3
29	57	0	0.423552399	0	0	0	0	0	0	0	0	0	0	3
30	58	0	0.438157654	0	0	0	0	0	0	0	0	0	0	3
31	60	0	0.452762909	0	0	0	0	0	0	0	0	0	0	3
32	62	0	0.467368164	0	0	0	0	0	0	0	0	0	0	3
33	63	0	0.48197342	0	0	0	0	0	0	0	0	0	0	3
34	65	0	0.496578675	0	0	0	0	0	0	0	0	0	0	3
35	67	0	0.51118393	0	0	0	0	0	0	0	0	0	0	3
36	68	0	0.525789185	0	0	0	0	0	0	0	0	0	0	3
37	70	0	0.54039444	0	0	0	0	0	0	0	0	0	0	3
38	72	0	0.554999695	0	0	0	0	0	0	0	0	0	0	3
39	74	0	0.56960495	0	0	0	0	0	0	0	0	0	0	3
40	75	0	0.584210205	0	0	0	0	0	0	0	0	0	0	3
41	77	0	0.598815461	0	0	0	0	0	0	0	0	0	0	3
42	79	0	0.613420716	0	0	0	0	0	0	0	0	0	0	3
43	80	0	0.628025971	0	0	0	0	0	0	0	0	0	0	3
44	82	0	0.642631226	0	0	0	0	0	0	0	0	0	0	3
45	84	0	0.657236481	0	0	0	0	0	0	0	0	0	0	3
46	85	0	0.671841736	0	0	0	0	0	0	0	0	0	0	3
47	87	0	0.686446991	0	0	0	0	0	0	0	0	0	0	3
48	90	0	0.701052247	0	0	0	0	0	0	0	0	0	0	3
49	92	0	0.715657502	0	0	0	0	0	0	0	0	0	0	3
50	94	0	0.730262757	0	0	0	0	0	0	0	0	0	0	3
51	96	0	0.744868012	0	0	0	0	0	0	0	0	0	0	3
52	97	0	0.759473267	0	0	0	0	0	0	0	0	0	0	3
