Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0146052551	101325.001	101325.001	101325.001	101325.001	0	0	0	519.192	0	0	3
2	7	0	0.0292105103	101324.955	101324.978	101324.955	101325.001	0.0229732615	0	0	913.88	0	0	3
3	9	0	0.0438157654	101325.15	101325.035	101324.955	101325.15	0.0575434241	0	0	478.143	0	0	3
4	11	0	0.0584210205	101324.885	101324.998	101324.885	101325.15	0.0575434241	0	0	434.408	0	0	3
5	13	0	0.0730262757	101324.685	101324.935	101324.685	101325.15	0.100075375	0	0	297.458	0	0	3
6	15	0	0.0876315308	101324.982	101324.943	101324.685	101325.15	0.100075375	0	0	277.652	0	0	3
7	17	0	0.102236786	101324.978	101324.948	101324.685	101325.15	0.100075375	0	0	206.27	0	0	3
8	20	0	0.116842041	101325.089	101324.966	101324.685	101325.15	0.100075375	0	0	160.507	0	0	3
9	22	0	0.131447296	101325.049	101324.975	101324.685	101325.15	0.100075375	0	0	143.18	0	0	3
10	24	0	0.146052551	101325.052	101324.983	101324.685	101325.15	0.100075375	0	0	141.495	0	0	3
11	26	0	0.160657807	101325.03	101324.987	101324.685	101325.15	0.100075375	0	0	119.619	0	0	3
12	28	0	0.175263062	101325.018	101324.99	101324.685	101325.15	0.100075375	0	0	91.9707	0	0	3
13	30	0	0.189868317	101325.017	101324.992	101324.685	101325.15	0.100075375	0	0	74.9903	0	0	3
14	31	0	0.204473572	101325.012	101324.993	101324.685	101325.15	0.100075375	0	0	58.0016	0	0	3
15	33	0	0.219078827	101325.013	101324.994	101324.685	101325.15	0.100075375	0	0	58.1989	0	0	3
16	35	0	0.233684082	101325.009	101324.995	101324.685	101325.15	0.100075375	0	0	59.419	0	0	3
17	36	0	0.248289337	101325.007	101324.996	101324.685	101325.15	0.100075375	0	0	60.3232	0	0	3
18	38	0	0.262894592	101325.003	101324.996	101324.685	101325.15	0.100075375	0	0	61.9562	0	0	3
19	40	0	0.277499848	101324.993	101324.996	101324.685	101325.15	0.100075375	0	0	63.709	0	0	3
20	41	0	0.292105103	101324.996	101324.996	101324.685	101325.15	0.100075375	0	0	73.6769	0	0	3
21	43	0	0.306710358	101324.996	101324.996	101324.685	101325.15	0.100075375	0	0	68.0207	0	0	3
22	45	0	0.321315613	101324.998	101324.996	101324.685	101325.15	0.100075375	0	0	55.6796	0	0	3
23	47	0	0.335920868	101325.005	101324.997	101324.685	101325.15	0.100075375	0	0	44.6694	0	0	3
24	48	0	0.350526123	101325.002	101324.997	101324.685	101325.15	0.100075375	0	0	45.5911	0	0	3
25	50	0	0.365131378	101325.005	101324.997	101324.685	101325.15	0.100075375	0	0	43.2592	0	0	3
26	52	0	0.379736634	101325.002	101324.997	101324.685	101325.15	0.100075375	0	0	36.5375	0	0	3
27	53	0	0.394341889	101325.004	101324.998	101324.685	101325.15	0.100075375	0	0	34.5347	0	0	3
28	55	0	0.408947144	101324.999	101324.998	101324.685	101325.15	0.100075375	0	0	31.6484	0	0	3
29	57	0	0.423552399	101325	101324.998	101324.685	101325.15	0.100075375	0	0	28.0836	0	0	3
30	58	0	0.438157654	101324.998	101324.998	101324.685	101325.15	0.100075375	0	0	23.4536	0	0	3
