Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0146052551	293.200001	293.200001	293.200001	293.200001	0	0	0	0.0100697	0	0	3
2	7	0	0.0292105103	293.200001	293.200001	293.200001	293.200001	1.05322101e-007	0	0	0.012744	0	0	3
3	9	0	0.0438157654	293.200001	293.200001	293.200001	293.200001	1.59569197e-007	0	0	0.0134034	0	0	3
4	11	0	0.0584210205	293.200001	293.200001	293.200001	293.200001	2.07481776e-007	0	0	0.0138351	0	0	3
5	13	0	0.0730262757	293.200001	293.200001	293.200001	293.200001	2.34789297e-007	0	0	0.014957	0	0	3
6	15	0	0.0876315308	293.200001	293.200001	293.200001	293.200001	2.45001445e-007	0	0	0.0145169	0	0	3
7	17	0	0.102236786	293.200001	293.200001	293.200001	293.200001	2.48087133e-007	0	0	0.0134347	0	0	3
8	20	0	0.116842041	293.200001	293.200001	293.200001	293.200001	2.52027633e-007	0	0	0.0137663	0	0	3
9	22	0	0.131447296	293.200001	293.200001	293.200001	293.200001	2.63638412e-007	0	0	0.0133406	0	0	3
10	24	0	0.146052551	293.200001	293.200001	293.200001	293.200001	2.87046987e-007	0	0	0.0124575	0	0	3
11	26	0	0.160657807	293.200001	293.200001	293.200001	293.200001	3.3816292e-007	0	0	0.0113002	0	0	3
12	28	0	0.175263062	293.200002	293.200001	293.200001	293.200002	4.21876166e-007	0	0	0.0106115	0	0	3
13	30	0	0.189868317	293.200003	293.200001	293.200001	293.200003	5.41795259e-007	0	0	0.0103996	0	0	3
14	31	0	0.204473572	293.200003	293.200001	293.200001	293.200003	7.01623264e-007	0	0	0.0100907	0	0	3
15	33	0	0.219078827	293.200004	293.200002	293.200001	293.200004	9.03121702e-007	0	0	0.0101076	0	0	3
16	35	0	0.233684082	293.200006	293.200002	293.200001	293.200006	1.1877147e-006	0	0	0.00962964	0	0	3
17	36	0	0.248289337	293.200008	293.200002	293.200001	293.200008	1.55638236e-006	0	0	0.0102972	0	0	3
18	38	0	0.262894592	293.20001	293.200003	293.200001	293.20001	2.0090726e-006	0	0	0.0109544	0	0	3
19	40	0	0.277499848	293.200013	293.200003	293.200001	293.200013	2.54313767e-006	0	0	0.00965908	0	0	3
20	41	0	0.292105103	293.200016	293.200004	293.200001	293.200016	3.1609988e-006	0	0	0.00980377	0	0	3
21	43	0	0.306710358	293.20002	293.200005	293.200001	293.20002	3.94163061e-006	0	0	0.0100682	0	0	3
22	45	0	0.321315613	293.200026	293.200006	293.200001	293.200026	4.8971317e-006	0	0	0.0107128	0	0	3
23	47	0	0.335920868	293.200032	293.200007	293.200001	293.200032	6.04193792e-006	0	0	0.0106255	0	0	3
24	48	0	0.350526123	293.200038	293.200008	293.200001	293.200038	7.36521173e-006	0	0	0.010987	0	0	3
25	50	0	0.365131378	293.200045	293.200009	293.200001	293.200045	8.85827006e-006	0	0	0.0106371	0	0	3
26	52	0	0.379736634	293.200056	293.200011	293.200001	293.200056	1.06473387e-005	0	0	0.0108171	0	0	3
27	53	0	0.394341889	293.200067	293.200013	293.200001	293.200067	1.27130208e-005	0	0	0.0118916	0	0	3
28	55	0	0.408947144	293.200078	293.200016	293.200001	293.200078	1.50187538e-005	0	0	0.0117092	0	0	3
29	57	0	0.423552399	293.200089	293.200018	293.200001	293.200089	1.75510733e-005	0	0	0.0118631	0	0	3
30	58	0	0.438157654	293.2001	293.200021	293.200001	293.2001	2.02812639e-005	0	0	0.01113	0	0	3
31	60	0	0.452762909	293.200117	293.200024	293.200001	293.200117	2.33764896e-005	0	0	0.0107433	0	0	3
32	62	0	0.467368164	293.200133	293.200027	293.200001	293.200133	2.67944394e-005	0	0	0.0110046	0	0	3
33	63	0	0.48197342	293.200149	293.200031	293.200001	293.200149	3.04887402e-005	0	0	0.0114759	0	0	3
34	65	0	0.496578675	293.200166	293.200035	293.200001	293.200166	3.44483298e-005	0	0	0.0110365	0	0	3
35	67	0	0.51118393	293.200183	293.200039	293.200001	293.200183	3.86774474e-005	0	0	0.0116469	0	0	3
36	68	0	0.525789185	293.200212	293.200045	293.200001	293.200212	4.46163173e-005	0	0	0.0119473	0	0	3
37	70	0	0.54039444	293.200241	293.200052	293.200001	293.200241	5.14196994e-005	0	0	0.0122265	0	0	3
38	72	0	0.554999695	293.20027	293.20006	293.200001	293.20027	5.90626203e-005	0	0	0.012478	0	0	3
39	74	0	0.56960495	293.200302	293.200069	293.200001	293.200302	6.76449308e-005	0	0	0.0128958	0	0	3
40	75	0	0.584210205	293.200335	293.200078	293.200001	293.200335	7.71647463e-005	0	0	0.013335	0	0	3
41	77	0	0.598815461	293.20038	293.200089	293.200001	293.20038	8.79789439e-005	0	0	0.0138674	0	0	3
42	79	0	0.613420716	293.200425	293.200101	293.200001	293.200425	0.00010009431	0	0	0.0145286	0	0	3
43	80	0	0.628025971	293.20047	293.200114	293.200001	293.20047	0.000113495754	0	0	0.0151393	0	0	3
44	82	0	0.642631226	293.200515	293.200129	293.200001	293.200515	0.000128156483	0	0	0.0156233	0	0	3
45	84	0	0.657236481	293.200561	293.200145	293.200001	293.200561	0.000144095154	0	0	0.0162466	0	0	3
46	85	0	0.671841736	293.200608	293.200162	293.200002	293.200608	0.000161337131	0	0	0.0167529	0	0	3
47	87	0	0.686446991	293.200652	293.200181	293.200003	293.200652	0.00017979649	0	0	0.0171599	0	0	3
48	90	0	0.701052247	293.200696	293.200201	293.200003	293.200696	0.000199456785	0	0	0.0174744	0	0	3
49	92	0	0.715657502	293.20074	293.200222	293.200004	293.20074	0.000220308892	0	0	0.0178242	0	0	3
50	94	0	0.730262757	293.200787	293.200244	293.200006	293.200787	0.000242379838	0	0	0.0180536	0	0	3
51	96	0	0.744868012	293.200835	293.200268	293.200008	293.200835	0.000265687121	0	0	0.0183071	0	0	3
52	97	0	0.759473267	293.200886	293.200293	293.20001	293.200886	0.000290317125	0	0	0.0185444	0	0	3
53	99	0	0.774078522	293.200938	293.200319	293.200013	293.200938	0.000316280114	0	0	0.0188755	0	0	3
54	101	0	0.788683777	293.200991	293.200347	293.200016	293.200991	0.000343610867	0	0	0.0190963	0	0	3
55	103	0	0.803289033	293.201044	293.200377	293.20002	293.201044	0.000372227114	0	0	0.0195333	0	0	3
56	104	0	0.817894288	293.201099	293.200408	293.200026	293.201099	0.000402082987	0	0	0.0197501	0	0	3
57	106	0	0.832499543	293.201152	293.20044	293.200032	293.201152	0.000433129942	0	0	0.0198336	0	0	3
58	108	0	0.847104798	293.201207	293.200473	293.200038	293.201207	0.000465379202	0	0	0.0200226	0	0	3
59	109	0	0.861710053	293.201263	293.200508	293.200045	293.201263	0.00049887207	0	0	0.0201333	0	0	3
60	111	0	0.876315308	293.20132	293.200545	293.200056	293.20132	0.000533516019	0	0	0.020326	0	0	3
61	113	0	0.890920563	293.20138	293.200583	293.200067	293.20138	0.000569265063	0	0	0.0204504	0	0	3
62	114	0	0.905525819	293.20144	293.200622	293.200078	293.20144	0.000606190585	0	0	0.0205578	0	0	3
63	116	0	0.920131074	293.201502	293.200663	293.200089	293.201502	0.000644335923	0	0	0.020615	0	0	3
64	118	0	0.934736329	293.201564	293.200705	293.2001	293.201564	0.000683740318	0	0	0.0206645	0	0	3
65	120	0	0.949341584	293.201626	293.200748	293.200117	293.201626	0.000724252533	0	0	0.0206682	0	0	3
66	121	0	0.963946839	293.201689	293.200793	293.200133	293.201689	0.000765751517	0	0	0.0207005	0	0	3
67	123	0	0.978552094	293.201752	293.200839	293.200149	293.201752	0.000808290736	0	0	0.0206652	0	0	3
68	125	0	0.993157349	293.201814	293.200887	293.200166	293.201814	0.000851892144	0	0	0.0206571	0	0	3
69	126	0	1.0077626	293.201877	293.200936	293.200183	293.201877	0.000896547188	5.62738154e-005	6.2	0.0204802	0	0	3
70	128	0	1.02236786	293.20194	293.200986	293.200212	293.20194	0.000940692919	5.81654451e-005	6.1	0.0205535	0	0	3
71	130	0	1.03697311	293.202003	293.201037	293.200241	293.202003	0.000984994691	5.911061e-005	6	0.0205391	0	0	3
72	131	0	1.05157837	293.202067	293.201089	293.20027	293.202067	0.00102946533	6.0063198e-005	5.8	0.0204017	0	0	3
73	133	0	1.06618363	293.20213	293.201143	293.200302	293.20213	0.00107400461	6.10178394e-005	5.6	0.0203418	0	0	3
74	134	0	1.08078888	293.202194	293.201197	293.200335	293.202194	0.00111852244	6.19728488e-005	5.5	0.0203093	0	0	3
75	136	0	1.09539414	293.202257	293.201252	293.20038	293.202257	0.00116264686	6.29269809e-005	5.4	0.0202214	0	0	3
76	138	0	1.10999939	293.202321	293.201307	293.200425	293.202321	0.00120599216	6.38797665e-005	5.2	0.0201451	0	0	3
77	139	0	1.12460465	293.202384	293.201363	293.20047	293.202384	0.00124855776	6.48323161e-005	5.1	0.0200138	0	0	3
78	141	0	1.1392099	293.202449	293.201419	293.200515	293.202449	0.00129039718	6.578727e-005	5	0.0199471	0	0	3
79	143	0	1.15381516	293.202514	293.201477	293.200561	293.202514	0.00133151477	6.67451733e-005	5	0.0198661	0	0	3
80	144	0	1.16842041	293.202578	293.201534	293.200608	293.202578	0.00137181623	6.77021966e-005	4.9	0.0198846	0	0	3
81	146	0	1.18302567	293.202641	293.201592	293.200652	293.202641	0.00141132166	6.86559283e-005	4.8	0.0198402	0	0	3
82	148	0	1.19763092	293.202704	293.201651	293.200696	293.202704	0.00145012593	6.96070687e-005	4.8	0.019672	0	0	3
83	150	0	1.21223618	293.202767	293.20171	293.20074	293.202767	0.00148824386	7.05557743e-005	4.7	0.0196305	0	0	3
84	151	0	1.22684143	293.20283	293.20177	293.200787	293.20283	0.00152559698	7.15000599e-005	4.6	0.0196005	0	0	3
85	153	0	1.24144669	293.202892	293.20183	293.200835	293.202892	0.00156206777	7.24385227e-005	4.6	0.0194451	0	0	3
86	155	0	1.25605194	293.202953	293.20189	293.200886	293.202953	0.001597517	7.33710113e-005	4.5	0.019397	0	0	3
87	156	0	1.2706572	293.203014	293.201951	293.200938	293.203014	0.00163182007	7.42968393e-005	4.5	0.0192533	0	0	3
88	158	0	1.28526245	293.203074	293.202012	293.200991	293.203074	0.00166489911	7.52151678e-005	4.5	0.0191268	0	0	3
89	160	0	1.29986771	293.203133	293.202074	293.201044	293.203133	0.00169669894	7.61234421e-005	4.4	0.0190357	0	0	3
90	161	0	1.31447296	293.203191	293.202135	293.201099	293.203191	0.0017272125	7.70202318e-005	4.4	0.0189983	0	0	3
91	163	0	1.32907822	293.203248	293.202196	293.201152	293.203248	0.00175643656	7.79051465e-005	4.4	0.0188874	0	0	3
92	165	0	1.34368347	293.203305	293.202258	293.201207	293.203305	0.00178436402	7.87784536e-005	4.4	0.0187615	0	0	3
93	166	0	1.35828873	293.20336	293.202319	293.201263	293.20336	0.00181089514	7.96393573e-005	4.3	0.0187298	0	0	3
94	168	0	1.37289398	293.203414	293.202381	293.20132	293.203414	0.00183591315	8.04830468e-005	4.3	0.018624	0	0	3
95	170	0	1.38749924	293.203466	293.202442	293.20138	293.203466	0.0018594	8.13094468e-005	4.3	0.0186321	0	0	3
96	171	0	1.40210449	293.203518	293.202503	293.20144	293.203518	0.00188125703	8.21198811e-005	4.3	0.0184825	0	0	3
97	173	0	1.41670975	293.203568	293.202564	293.201502	293.203568	0.00190136317	8.29139837e-005	4.3	0.0184562	0	0	3
98	175	0	1.431315	293.203617	293.202624	293.201564	293.203617	0.00191965736	8.36926827e-005	4.3	0.018436	0	0	3
99	176	0	1.44592026	293.203664	293.202684	293.201626	293.203664	0.00193604354	8.44496365e-005	4.3	0.0183172	0	0	3
100	178	0	1.46052551	293.203708	293.202744	293.201689	293.203708	0.00195061624	8.51852323e-005	4.3	0.0181818	0	0	3
101	180	0	1.47513077	293.203751	293.202803	293.201752	293.203751	0.00196330872	8.59000966e-005	4.3	0.0180337	0	0	3
102	182	0	1.48973602	293.203793	293.202861	293.201814	293.203793	0.00197407551	8.65945922e-005	4.3	0.0177748	0	0	3
103	183	0	1.50434128	293.203833	293.202919	293.201877	293.203833	0.00195618611	8.72680858e-005	4.4	0.017749	0	0	3
104	185	0	1.51894653	293.203871	293.202976	293.20194	293.203871	0.00193155167	8.79111002e-005	4.5	0.0176478	0	0	3
105	187	0	1.53355179	293.203907	293.203032	293.202003	293.203907	0.00190453118	8.8524483e-005	4.6	0.0175358	0	0	3
106	188	0	1.54815704	293.203941	293.203087	293.202067	293.203941	0.00187443485	8.91083078e-005	4.7	0.0174166	0	0	3
107	190	0	1.5627623	293.203972	293.203142	293.20213	293.203972	0.00184192627	8.96606395e-005	4.8	0.0172859	0	0	3
108	191	0	1.57736755	293.204002	293.203195	293.202194	293.204002	0.00180787561	9.01826822e-005	4.9	0.0170371	0	0	3
109	193	0	1.59197281	293.20403	293.203248	293.202257	293.20403	0.0017721819	9.06657168e-005	5.1	0.0169972	0	0	3
110	195	0	1.60657807	293.204055	293.203299	293.202321	293.204055	0.00173463041	9.11107118e-005	5.2	0.0169513	0	0	3
111	196	0	1.62118332	293.204079	293.203349	293.202384	293.204079	0.00169475974	9.15190652e-005	5.4	0.0168345	0	0	3
112	198	0	1.63578858	293.204101	293.203398	293.202449	293.204101	0.00165192804	9.18923575e-005	5.5	0.0167836	0	0	3
113	200	0	1.65039383	293.20412	293.203446	293.202514	293.20412	0.00160656995	9.22308192e-005	5.7	0.0167143	0	0	3
114	201	0	1.66499909	293.204138	293.203493	293.202578	293.204138	0.001560605	9.25348767e-005	5.9	0.0165461	0	0	3
115	203	0	1.67960434	293.204154	293.203538	293.202641	293.204154	0.0015136186	9.28073019e-005	6.1	0.0165446	0	0	3
116	205	0	1.6942096	293.204169	293.203581	293.202704	293.204169	0.00146495427	9.30493212e-005	6.3	0.016491	0	0	3
117	206	0	1.70881485	293.204182	293.203623	293.202767	293.204182	0.00141426626	9.3261606e-005	6.5	0.0164395	0	0	3
118	208	0	1.72342011	293.204192	293.203664	293.20283	293.204192	0.00136208587	9.34432323e-005	6.8	0.0163953	0	0	3
119	210	0	1.73802536	293.204201	293.203703	293.202892	293.204201	0.00130896758	9.35940616e-005	7.1	0.0163366	0	0	3
120	211	0	1.75263062	293.204208	293.203741	293.202953	293.204208	0.00125498103	9.37132157e-005	7.4	0.0161964	0	0	3
121	213	0	1.76723587	293.204214	293.203777	293.203014	293.204214	0.00120032152	9.38013693e-005	7.8	0.0162096	0	0	3
122	215	0	1.78184113	293.204219	293.203811	293.203074	293.204219	0.00114522991	9.3858669e-005	8.1	0.0161685	0	0	3
123	216	0	1.79644638	293.204222	293.203844	293.203133	293.204222	0.00108878381	9.38856763e-005	8.6	0.0161041	0	0	3
