Iteration	CPUTime	PhysTime	Travels	CourFact
1	5	0	0.0146052551	0
2	7	0	0.0292105103	0
3	9	0	0.0438157654	0
4	11	0	0.0584210205	0
5	13	0	0.0730262757	0
6	15	0	0.0876315308	0
7	17	0	0.102236786	0
8	20	0	0.116842041	0
9	22	0	0.131447296	0
10	24	0	0.146052551	0
11	26	0	0.160657807	0
12	28	0	0.175263062	0
13	30	0	0.189868317	0
14	31	0	0.204473572	0
15	33	0	0.219078827	0
16	35	0	0.233684082	0
17	36	0	0.248289337	0
18	38	0	0.262894592	0
19	40	0	0.277499848	0
20	41	0	0.292105103	0
21	43	0	0.306710358	0
22	45	0	0.321315613	0
23	47	0	0.335920868	0
24	48	0	0.350526123	0
25	50	0	0.365131378	0
26	52	0	0.379736634	0
27	53	0	0.394341889	0
28	55	0	0.408947144	0
29	57	0	0.423552399	0
30	58	0	0.438157654	0
31	60	0	0.452762909	0
32	62	0	0.467368164	0
33	63	0	0.48197342	0
34	65	0	0.496578675	0
35	67	0	0.51118393	0
36	68	0	0.525789185	0
37	70	0	0.54039444	0
38	72	0	0.554999695	0
39	74	0	0.56960495	0
40	75	0	0.584210205	0
41	77	0	0.598815461	0
42	79	0	0.613420716	0
43	80	0	0.628025971	0
44	82	0	0.642631226	0
45	84	0	0.657236481	0
46	85	0	0.671841736	0
47	87	0	0.686446991	0
48	90	0	0.701052247	0
49	92	0	0.715657502	0
50	94	0	0.730262757	0
51	96	0	0.744868012	0
52	97	0	0.759473267	0
53	99	0	0.774078522	0
54	101	0	0.788683777	0
55	103	0	0.803289033	0
56	104	0	0.817894288	0
57	106	0	0.832499543	0
58	108	0	0.847104798	0
59	109	0	0.861710053	0
60	111	0	0.876315308	0
61	113	0	0.890920563	0
62	114	0	0.905525819	0
63	116	0	0.920131074	0
64	118	0	0.934736329	0
65	120	0	0.949341584	0
66	121	0	0.963946839	0
67	123	0	0.978552094	0
68	125	0	0.993157349	0
69	126	0	1.0077626	0
70	128	0	1.02236786	0
71	130	0	1.03697311	0
72	131	0	1.05157837	0
73	133	0	1.06618363	0
74	134	0	1.08078888	0
75	136	0	1.09539414	0
76	138	0	1.10999939	0
77	139	0	1.12460465	0
78	141	0	1.1392099	0
79	143	0	1.15381516	0
80	144	0	1.16842041	0
81	146	0	1.18302567	0
82	148	0	1.19763092	0
83	150	0	1.21223618	0
84	151	0	1.22684143	0
85	153	0	1.24144669	0
86	155	0	1.25605194	0
87	156	0	1.2706572	0
88	158	0	1.28526245	0
89	160	0	1.29986771	0
90	161	0	1.31447296	0
91	163	0	1.32907822	0
92	165	0	1.34368347	0
93	166	0	1.35828873	0
94	168	0	1.37289398	0
95	170	0	1.38749924	0
96	171	0	1.40210449	0
97	173	0	1.41670975	0
98	175	0	1.431315	0
99	176	0	1.44592026	0
100	178	0	1.46052551	0
101	180	0	1.47513077	0
102	182	0	1.48973602	0
103	183	0	1.50434128	0
104	185	0	1.51894653	0
105	187	0	1.53355179	0
106	188	0	1.54815704	0
107	190	0	1.5627623	0
108	191	0	1.57736755	0
109	193	0	1.59197281	0
110	195	0	1.60657807	0
111	196	0	1.62118332	0
112	198	0	1.63578858	0
113	200	0	1.65039383	0
114	201	0	1.66499909	0
115	203	0	1.67960434	0
116	205	0	1.6942096	0
117	206	0	1.70881485	0
118	208	0	1.72342011	0
119	210	0	1.73802536	0
120	211	0	1.75263062	0
121	213	0	1.76723587	0
122	215	0	1.78184113	0
123	216	0	1.79644638	0
124	218	0	1.81105164	0
125	220	0	1.82565689	0
126	222	0	1.84026215	0
127	224	0	1.8548674	0
128	225	0	1.86947266	0
129	227	0	1.88407791	0
130	229	0	1.89868317	0
131	230	0	1.91328842	0
132	232	0	1.92789368	0
133	234	0	1.94249893	0
134	235	0	1.95710419	0
135	237	0	1.97170944	0
136	238	0	1.9863147	0
137	240	0	2.00091995	0
138	242	0	2.01552521	0
139	243	0	2.03013046	0
140	245	0	2.04473572	0
141	247	0	2.05934097	0
142	248	0	2.07394623	0
143	250	0	2.08855148	0
144	252	0	2.10315674	0
145	253	0	2.11776199	0
146	255	0	2.13236725	0
147	257	0	2.14697251	0
148	258	0	2.16157776	0
149	260	0	2.17618302	0
150	261	0	2.19078827	0
151	263	0	2.20539353	0
152	265	0	2.21999878	0
153	266	0	2.23460404	0
154	268	0	2.24920929	0
155	270	0	2.26381455	0
156	271	0	2.2784198	0
157	273	0	2.29302506	0
158	275	0	2.30763031	0
159	276	0	2.32223557	0
160	278	0	2.33684082	0
161	280	0	2.35144608	0
162	281	0	2.36605133	0
163	283	0	2.38065659	0
164	285	0	2.39526184	0
165	286	0	2.4098671	0
166	288	0	2.42447235	0
167	290	0	2.43907761	0
168	292	0	2.45368286	0
169	293	0	2.46828812	0
170	295	0	2.48289337	0
171	297	0	2.49749863	0
172	298	0	2.51210388	0
173	300	0	2.52670914	0
174	302	0	2.54131439	0
175	303	0	2.55591965	0
176	305	0	2.5705249	0
177	306	0	2.58513016	0
178	308	0	2.59973541	0
179	310	0	2.61434067	0
